                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.38416,                 0.4086,                0.95209,                0.94662,                0.92013,                0.97926,                0.93186,                0.33427,                0.33816,                0.90619,               0.001464,               0.001464,               0.001464
                    125,                0.39304,                0.40426,                0.94952,                0.95103,                0.94289,                0.98175,                 0.9301,                0.34964,                0.30414,                0.91242,              0.0014624,              0.0014624,              0.0014624
                    126,                0.39598,                0.41177,                0.95449,                0.90016,                0.96826,                0.96947,                0.91695,                0.34214,                0.32101,                0.90721,              0.0014607,              0.0014607,              0.0014607
                    127,                0.39778,                0.41061,                0.95389,                0.90181,                0.97418,                 0.9693,                0.92192,                0.34819,                0.30883,                0.91207,              0.0014591,              0.0014591,              0.0014591
                    128,                 0.3925,                0.42215,                0.96132,                0.93799,                0.95866,                0.98605,                0.93893,                0.32784,                0.29509,                0.90188,              0.0014574,              0.0014574,              0.0014574
                    129,                0.38344,                0.40617,                0.95244,                0.94372,                0.93714,                0.98414,                0.93588,                 0.3283,                0.29817,                0.90325,              0.0014558,              0.0014558,              0.0014558
                    130,                0.39029,                0.41451,                0.95761,                 0.9133,                0.96697,                 0.9836,                0.93304,                0.33369,                0.30005,                0.90924,              0.0014541,              0.0014541,              0.0014541
                    131,                0.38914,                0.42515,                0.95446,                0.94188,                0.97352,                 0.9785,                0.93424,                 0.3276,                0.29193,                0.89921,              0.0014525,              0.0014525,              0.0014525
                    132,                 0.3873,                 0.4139,                0.94743,                0.95724,                0.90333,                0.97605,                0.92226,                 0.3552,                0.33472,                0.91751,              0.0014508,              0.0014508,              0.0014508
                    133,                0.38553,                0.41467,                0.94628,                0.94287,                0.95797,                0.97354,                0.92799,                0.33326,                0.31355,                0.90067,              0.0014492,              0.0014492,              0.0014492
