                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.46024,                0.45696,                0.89917,                0.90666,                0.94593,                0.95988,                0.89858,                0.38396,                0.37308,                0.88569,              0.0015251,              0.0015251,              0.0015251
                     88,                0.45128,                0.44553,                0.89622,                0.85868,                0.90727,                0.94044,                0.88242,                0.38535,                0.44282,                 0.8946,              0.0015234,              0.0015234,              0.0015234
                     89,                0.43979,                0.44802,                0.89303,                0.91804,                0.91784,                 0.9578,                0.88718,                0.38796,                0.39074,                0.88802,              0.0015218,              0.0015218,              0.0015218
                     90,                0.45775,                0.45981,                0.90029,                0.79542,                0.86779,                0.89486,                 0.8307,                0.39989,                0.47594,                0.89613,              0.0015201,              0.0015201,              0.0015201
                     91,                0.44662,                0.45002,                0.89481,                0.87099,                0.92255,                0.94936,                0.88767,                0.37643,                0.41645,                0.88154,              0.0015185,              0.0015185,              0.0015185
                     92,                0.43947,                0.45247,                0.88937,                  0.857,                0.93293,                0.92964,                0.87106,                0.35622,                0.39758,                0.88183,              0.0015168,              0.0015168,              0.0015168
                     93,                 0.4207,                0.44313,                0.87769,                0.86978,                0.92477,                0.94679,                0.88165,                0.35057,                0.40049,                0.88048,              0.0015152,              0.0015152,              0.0015152
                     94,                0.42525,                0.43427,                0.88893,                0.90784,                0.91915,                0.95887,                0.89542,                0.38269,                0.37738,                0.89217,              0.0015135,              0.0015135,              0.0015135
                     95,                 0.4148,                 0.4158,                0.88017,                0.92919,                0.88052,                  0.957,                0.86388,                0.45176,                0.39524,                0.92084,              0.0015119,              0.0015119,              0.0015119
                     96,                 0.4343,                0.43947,                0.88613,                0.88485,                0.84056,                0.92672,                0.83993,                0.43123,                0.48684,                0.92225,              0.0015102,              0.0015102,              0.0015102
                     97,                0.43675,                0.43326,                0.89334,                0.94194,                 0.9026,                0.97819,                0.91473,                0.36876,                0.36582,                0.88331,              0.0015086,              0.0015086,              0.0015086
                     98,                0.44403,                0.44881,                0.89223,                0.93659,                0.96523,                0.98372,                0.90868,                 0.4065,                0.32644,                0.89811,              0.0015069,              0.0015069,              0.0015069
                     99,                0.43508,                0.43583,                0.89003,                 0.9217,                0.97175,                0.96654,                0.91024,                0.35604,                0.32099,                0.87802,              0.0015053,              0.0015053,              0.0015053
                    100,                0.43349,                0.43462,                0.88677,                0.86978,                0.95995,                0.95968,                0.90111,                0.36667,                0.37799,                0.88335,              0.0015036,              0.0015036,              0.0015036
                    101,                0.44255,                0.43324,                0.89393,                0.90708,                0.94631,                0.96219,                0.89477,                0.40029,                0.36959,                 0.8942,               0.001502,               0.001502,               0.001502
                    102,                0.42272,                0.42325,                0.88679,                0.91458,                0.93463,                0.97767,                0.92405,                0.33632,                0.32391,                0.87273,              0.0015003,              0.0015003,              0.0015003
                    103,                 0.4393,                 0.4359,                0.88899,                0.91911,                0.90998,                0.96159,                0.89743,                0.38287,                0.37978,                 0.8849,              0.0014987,              0.0014987,              0.0014987
                    104,                0.42681,                0.42925,                0.88848,                0.90208,                 0.9335,                0.96948,                0.90818,                0.37085,                0.35327,                0.88206,               0.001497,               0.001497,               0.001497
                    105,                0.42315,                0.42391,                0.88315,                0.90022,                0.90899,                 0.9596,                0.89267,                0.35526,                0.38717,                 0.8776,              0.0014954,              0.0014954,              0.0014954
